periode,revenu,description,zone,id_serie,annee
2014,11739.0,Revenu disponible par unité de consommation : 1er décile - Côte-d'Or,D21,1741412,2014
2015,11743.0,Revenu disponible par unité de consommation : 1er décile - Côte-d'Or,D21,1741412,2015
2012,19144.0,Revenu disponible par unité de consommation : Médiane - Charente-Maritime,D17,1741915,2012
2013,19631.0,Revenu disponible par unité de consommation : Médiane - Charente-Maritime,D17,1741915,2013
2014,19800.0,Revenu disponible par unité de consommation : Médiane - Charente-Maritime,D17,1741915,2014
2015,20032.0,Revenu disponible par unité de consommation : Médiane - Charente-Maritime,D17,1741915,2015
2012,18428.0,Revenu disponible par unité de consommation : Médiane - Indre,D36,1741935,2012
2013,18927.0,Revenu disponible par unité de consommation : Médiane - Indre,D36,1741935,2013
2014,19072.0,Revenu disponible par unité de consommation : Médiane - Indre,D36,1741935,2014
2015,19175.0,Revenu disponible par unité de consommation : Médiane - Indre,D36,1741935,2015
2012,19952.0,Revenu disponible par unité de consommation : Médiane - Indre-et-Loire,D37,1741936,2012
2013,20403.0,Revenu disponible par unité de consommation : Médiane - Indre-et-Loire,D37,1741936,2013
2014,20561.0,Revenu disponible par unité de consommation : Médiane - Indre-et-Loire,D37,1741936,2014
2015,20710.0,Revenu disponible par unité de consommation : Médiane - Indre-et-Loire,D37,1741936,2015
2012,20825.0,Revenu disponible par unité de consommation : Médiane - Isère,D38,1741937,2012
2013,21213.0,Revenu disponible par unité de consommation : Médiane - Isère,D38,1741937,2013
2014,21407.0,Revenu disponible par unité de consommation : Médiane - Isère,D38,1741937,2014
2015,21673.0,Revenu disponible par unité de consommation : Médiane - Isère,D38,1741937,2015
2012,19433.0,Revenu disponible par unité de consommation : Médiane - Jura,D39,1741938,2012
