periode,nb_logements,description,zone,id_serie,annee,mois
2017-08,5500,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2017,8
2017-09,5300,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2017,9
2017-10,5300,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2017,10
2017-11,5100,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2017,11
2017-12,5200,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2017,12
2018-01,5100,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2018,1
2018-02,5100,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2018,2
2018-03,5100,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2018,3
2018-04,5300,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2018,4
2018-05,5400,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2018,5
2018-06,5500,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2018,6
2018-07,5800,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2018,7
2018-08,6200,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2018,8
2018-09,6000,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2018,9
2018-10,5900,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2018,10
2018-11,5900,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2018,11
2018-12,5800,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2018,12
2019-01,5700,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2019,1
2019-02,5500,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2019,2
2019-03,5800,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2019,3
2019-04,5700,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2019,4
2019-05,5600,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2019,5
2019-06,5900,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2019,6
2019-07,5700,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2019,7
2019-08,5200,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2019,8
2019-09,5600,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2019,9
2019-10,5800,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2019,10
2019-11,6100,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2019,11
2019-12,6100,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2019,12
2020-01,6000,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2020,1
2020-02,6400,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2020,2
2020-03,6100,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2020,3
2020-04,6000,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2020,4
2020-05,6000,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2020,5
2020-06,5800,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2020,6
2020-07,5900,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2020,7
2020-08,6100,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2020,8
2020-09,6000,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2020,9
2020-10,5700,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2020,10
2020-11,5400,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2020,11
2020-12,5700,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2020,12
2021-01,5800,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2021,1
2021-02,5700,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2021,2
2021-03,5700,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2021,3
2021-04,5800,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2021,4
2021-05,5700,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2021,5
2021-06,5600,Nombre de logements autorisés - Cumul sur douze mois - Total - Champagne-Ardenne - Estimations en date réelle,R21,1718186,2021,6
